Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Crossref: The sustainable source of community-owned scholarly metadata","Crossref's scholarly metadata, covering 13 content types, is a valuable source for scientometrics and scholarly communication research.","Ginny Hendricks, Dominika Tkaczyk, Jennifer Lin, P. Feeney",2020,168,"This paper describes the scholarly metadata collected and made available by Crossref, as well as its importance in the scholarly research ecosystem. Containing over 106 million records and expanding at an average rate of 11% a year, Crossref’s metadata has become one of the major sources of scholarly data for publishers, authors, librarians, funders, and researchers. The metadata set consists of 13 content types, including not only traditional types, such as journals and conference papers, but also data sets, reports, preprints, peer reviews, and grants. The metadata is not limited to basic publication metadata, but can also include abstracts and links to full text, funding and license information, citation links, and the information about corrections, updates, retractions, etc. This scale and breadth make Crossref a valuable source for research in scientometrics, including measuring the growth and impact of science and understanding new trends in scholarly communications. The metadata is available through a number of APIs, including REST API and OAI-PMH. In this paper, we describe the kind of metadata that Crossref provides and how it is collected and curated. We also look at Crossref’s role in the research ecosystem and trends in metadata curation over the years, including the evolution of its citation data provision. We summarize the research used in Crossref’s metadata and describe plans that will improve metadata quality and retrieval in the future.","","Quantitative Science Studies","1","10.1162/qss_a_00022","https://consensus.app/papers/crossref-the-sustainable-source-of-communityowned-hendricks-tkaczyk/a7ee8c10f1b958bcaaea839478b61b31/"
"New trends in bibliometric APIs: A comparative analysis","Clarivate Analytics and Elsevier offer versatile bibliometric APIs, while non-profit organizations like OpenCitations and OurResearch promote Open Science, with no restrictions on metadata retrieval.","A. Velez-Estevez, I. J. Pérez, P. García-Sánchez, J. A. Moral-Munoz, M. Cobo",2023,46,"","","Inf. Process. Manag.","1","10.1016/j.ipm.2023.103385","https://consensus.app/papers/new-trends-in-bibliometric-apis-a-comparative-analysis-velez-estevez-p%C3%A9rez/8d7af785bf625bf7be7d55e4101c1574/"
"Scopus as a curated, high-quality bibliometric data source for academic research in quantitative science studies","Scopus is a trusted bibliometric data source for academic research in quantitative science studies, providing high-quality data for research assessments, landscape studies, and university rankings.","J. Baas, M. Schotten, A. Plume, Grégoire Côté, Reza Karimi",2020,1476,"Abstract Scopus is among the largest curated abstract and citation databases, with a wide global and regional coverage of scientific journals, conference proceedings, and books, while ensuring only the highest quality data are indexed through rigorous content selection and re-evaluation by an independent Content Selection and Advisory Board. Additionally, extensive quality assurance processes continuously monitor and improve all data elements in Scopus. Besides enriched metadata records of scientific articles, Scopus offers comprehensive author and institution profiles, obtained from advanced profiling algorithms and manual curation, ensuring high precision and recall. The trustworthiness of Scopus has led to its use as bibliometric data source for large-scale analyses in research assessments, research landscape studies, science policy evaluations, and university rankings. Scopus data have been offered for free for selected studies by the academic research community, such as through application programming interfaces, which have led to many publications employing Scopus data to investigate topics such as researcher mobility, network visualizations, and spatial bibliometrics. In June 2019, the International Center for the Study of Research was launched, with an advisory board consisting of bibliometricians, aiming to work with the scientometric research community and offering a virtual laboratory where researchers will be able to utilize Scopus data.","","Quantitative Science Studies","1","10.1162/qss_a_00019","https://consensus.app/papers/scopus-as-a-curated-highquality-bibliometric-data-source-baas-schotten/2791537a36f55d3eb6992bc7cb009778/"
"Comparison of datasets citation coverage in Google Scholar, Web of Science, Scopus, Crossref, and DataCite","Google Scholar provides the most comprehensive citation coverage for EOSDIS datasets, while Crossref struggles due to dataset DOIs and interface shortcomings.","Irina Gerasimov, Binita Kc, Armin Mehrabian, James G. Acker, Michael P. McGuire",2024,28,"The rapid increase of Earth science data from remote sensing, models, and ground-based observations highlights an urgent need for effective data management practices. Data repositories track provenance and usage metrics which are crucial for ensuring data integrity and scientific reproducibility. Although the introduction of Digital Object Identifiers (DOIs) for datasets in the late 1990s has significantly aided in crediting creators and enhancing dataset discoverability (akin to traditional research citations), considerable challenges persist in establishing linkage of datasets used with scholarly documents. This study evaluates the citation coverage of datasets from NASA’s Earth Observing System Data and Information System (EOSDIS) across several major bibliographic sources ‒ namely Google Scholar (GS), Web of Science (WoS), Scopus, Crossref, and DataCite—which helps data managers in making informed decisions when selecting bibliographic sources. We provide a robust and comprehensive understanding of the citation landscape, crucial for advancing data management practices and advancing open science. Our study searched and analyzed temporal trends across the bibliographic sources for publications that cite approximately 11,000 DOIs associated with EOSDIS datasets, yielding 17,000 unique journal and conference articles, reports, and book records linked to 3,000 dataset DOIs. GS emerged as the most comprehensive source while Crossref lagged significantly behind the other major sources. Crossref’s record references revealed that the absence of dataset DOIs and shortcomings in the Crossref Event data interface likely contributed to its underperformance. Scopus initially outperformed WoS until 2020, after which WoS began to show superior performance. Overall, our study underscores the necessity of utilizing multiple bibliographic sources for citation analysis, particularly for exploring dataset-to-document connections.","","Scientometrics","1","10.1007/s11192-024-05073-5","https://consensus.app/papers/comparison-of-datasets-citation-coverage-in-google-gerasimov-kc/be5d367a0a6a50118533d89725b5c1d9/"
"openalexR: An R-Tool for Collecting Bibliometric Data from OpenAlex","openalexR is an R package that interfaces with the OpenAlex API, enabling users to collect information on works, authors, institutions, sources, and concepts.","Massimo Aria, Trang Le, C. Cuccurullo, Alessandra Belfiore, June Choe",2024,24,"Bibliographic databases are indispensable sources of information on published literature. OpenAlex is an open-source collection of academic metadata that enable comprehensive bibliographic analyses (Priem, Piwowar, and Orr 2022). In this paper, we provide details on the implementation of openalexR, an R package to interface with the OpenAlex API. We present a general overview of its main functions and several detailed examples of its use. Following best API package practices, openalexR offers an intuitive interface for collecting information on different entities, including works, authors, institutions, sources, and concepts. openalexR exposes to the user different API parameters including filtering, searching, sorting, and grouping. This new open-source package is well-documented and available on CRAN.","","R J.","2","10.32614/rj-2023-089","https://consensus.app/papers/openalexr-an-rtool-for-collecting-bibliometric-data-from-aria-le/2f53821885d85a918e02cad639a8c1f0/"
"CROSSREF ЯК ДЖЕРЕЛО НАУКОМЕТРИЧНИХ ДАНИХ ДЛЯ СОЦІАЛЬНИХ ТА ГУМАНІТАРНИХ НАУК","The ScientoMiner ICR module for the Gephi platform simplifies the automatic export of Crossref data for scientometric analysis, aiding in the creation of new non-commercial tools for tracking scientific citations.","А. Камінська, Сергій Назаровець",2018,3,"Modern scientometrics successfully use a number of analytical methods for the study of scientific publications, however, the application of even the most advanced analytical methods to erroneous or incomplete data leads to erroneous results. The subject of the research in the article are modern approaches and technologies for obtaining bibliographic data from reliable open sources of scientific information for carrying out scientometric research. The goal of this work is the presentation of the developed module ScientoMiner ICR, which expands the functionality of the analytical platform Gephi and allows you to import bibliographic data from the public records of Crossref to conduct scientometric research in the field of citation analysis, the quality of which is guaranteed using the DOI identification system. The following tasks are solved in the article: prospects of development of the Initiative for Open Citations for creation of non-commercial open tools for tracking scientific citations; the use of the DOI system and the database of the Crossref registration agency is justified as a reliable source of bibliographic data and a mechanism for obtaining metadata of scientific publications; the capabilities of the ScientoMiner ICR module for the open Gephi platform for importing bibliographic data are disclosed. The methods of research were used – visualization and analysis of the network of scientific citations. Conclusion – the proposed module ScientoMiner ICR for the Gephi platform simplifies the process of automatic export of Crossref data directly to Gephi, in particular, for the needs of scientometric analysis. The obtained results can be used in the process of creating new non-commercial tools for tracking the citation of scientific papers, especially in the social and human sciences, which are not well represented in the databases of commercial scientometric products.","","","","10.30837/2522-9818.2018.5.026","https://consensus.app/papers/crossref-%D1%8F%D0%BA-%D0%B4%D0%B6%D0%B5%D1%80%D0%B5%D0%BB%D0%BE-%D0%BD%D0%B0%D1%83%D0%BA%D0%BE%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%BD%D0%B8%D1%85-%D0%B4%D0%B0%D0%BD%D0%B8%D1%85-%D0%B4%D0%BB%D1%8F-%D1%81%D0%BE%D1%86%D1%96%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D1%85-%D0%BA%D0%B0%D0%BC%D1%96%D0%BD%D1%81%D1%8C%D0%BA%D0%B0-%D0%BD%D0%B0%D0%B7%D0%B0%D1%80%D0%BE%D0%B2%D0%B5%D1%86%D1%8C/07c6c9b2b6a255b6b5ee319a52a18b75/"
"A Bibliometric Analysis of Drinking Water Distribution In Coastal Areas Using Vosviewer","Drinking Water Distribution System is the most dense keyword in VOSViewer, with research on coastal water distribution systems increasing annually, reaching its highest peak in 2023 with 75 publications per year.","Vincent Aluna Ricardo, Andri Irfan Rifai, Amanatullah Savitri, J. Prasetijo",2024,1,"This research aims to determine the trend related to drinking water distribution in coastal areas using VOSViewer software  Bibliometric analysis is a statistical method that could quantitatively analyze a research paper focusing on one topic mathematically. This research was analyzed using bibliometric analysis focusing on drinking water distribution in coastal areas. This research uses the bibliometric analysis method to examine a keyword. This method is often used to explore and analyze much scientific data. The Crossref database was used to retrieve approximately 1000 research with interrelated topics. Retrieved data is helped by using Publish or Perish and saving in RIS (Research Information System) extension. VOSViewer is also used to help process data into visualization. Drinking Water Distribution System has become the most dense keyword shown by VOSViewer. The publication is mostly in journal articles, totaling 549 out of 1000. Research on drinking water distribution systems in coastal area-related topics is continuously increasing by number year by year. With time stamps between 2000-2023, the highest peak was in 2023, with 75 publications in a year.","","Asian Journal of Social and Humanities","","10.59888/ajosh.v2i8.335","https://consensus.app/papers/a-bibliometric-analysis-of-drinking-water-distribution-in-ricardo-rifai/ec98795eb16f50ddbb997dc2b0b3fecf/"
"How to combine and clean bibliometric data and use bibliometric tools synergistically: Guidelines using metaverse research","This paper provides guidelines for combining and cleaning bibliometric data from multiple databases and conducting bibliometric analysis using tools like bibliometrix and VOSviewer, providing insights into the metaverse for scholars, practitioners, and policymakers.","Weng Marc Lim, Satish Kumar, Naveen Donthu",2024,179,"","","Journal of Business Research","1","10.1016/j.jbusres.2024.114760","https://consensus.app/papers/how-to-combine-and-clean-bibliometric-data-and-use-lim-kumar/fb9afbc5cdbb52bc950c575a8c89ee4f/"
"Combining Web of Science and Scopus datasets in citation-based literature study","Combining Web of Science and Scopus datasets for bibliometric analyses in inter-firm relationships requires data unifying and repairing, requiring significant effort.","Miika Kumpulainen, M. Seppänen",2022,157,"Scientific research builds on previous studies and scientifically proven knowledge. Researchers must master the recent developments in the field when designing research to answer new questions. Today, the accessibility of research literature is abundant due to digitized publications, extensive coverage of citation indexes, and several literature databases. The means for conducting systematic literature reviews have greatly improved. In recent years, a lot of research with methods, such as systematic literature reviews, literature mapping, and visualizing studies, has been published. Despite the tools having been perfected, they still have limitations. Particularly, database selection for a literature search sets a bias, because the citation indexes differ in coverage according to the scientific domain. In this paper, bibliometric data from two citation indexes (Web of Science and Scopus) are combined for the purposes of bibliometric analyses in the context of inter-firm relationships. The combination process requires a lot of unifying and repairing of data in practice that is referred as data wrangling. This study describes the process steps and the lessons learned and considers the amount of effort required.","","Scientometrics","1","10.1007/s11192-022-04475-7","https://consensus.app/papers/combining-web-of-science-and-scopus-datasets-in-kumpulainen-sepp%C3%A4nen/6d3a53024cf65133bb19938a593197be/"
"An open-source tool for merging data from multiple citation databases","The open-source tool VOSviewer effectively deduplicates records from multiple citation databases, reducing time spent on data wrangling and improving the reliability of bibliometric analysis results.","Dušan Nikolić, Dragan Ivanović, Lidija Ivanović",2024,17,"A bibliometric analysis based on records from a single citation database may be limited in its comprehensiveness and, therefore, in the reliability of its results. The process of combining and deduplicating records from multiple citation index databases for the purpose of a bibliometric analysis is often manual and requires significant effort, especially for larger amounts of data. This paper presents an open-source tool for automatically preprocessing and deduplicating records based on similarity and user-configurable strategies. To validate the capabilities of the tool, the authors of this paper first manually deduplicated records from Scopus and Web of Science on a use-case analysis for 11,307 records. The performance of the tool was then evaluated against the manually deduplicated results. From the results of the best performing similarity configuration on a deduplication use case, the tool minimizes the time researchers would spend on data wrangling for combining Scopus and WoS up to 99% precision and 98% F-measure. The tool developed has practical implications for bibliometric studies. For instance, we conducted a bibliometric analysis of the most productive researchers at a university using a single citation database, as well as merged data from multiple citation databases. The study used the VOSviewer tool and showed that utilizing merged data may produce different outcomes compared to those obtained from a study based on a single citation database.","","Scientometrics","1","10.1007/s11192-024-05076-2","https://consensus.app/papers/an-opensource-tool-for-merging-data-from-multiple-citation-nikoli%C4%87-ivanovi%C4%87/50be512dd20a5a598070fd87049dbe3a/"
