Year,CampusMatched,CampusMatchedConfidence,ProgramInferred,Title,Researchers,Venue,Publisher,Type,DOI,URL,MatchedAffiliation,AllAffiliations,Subjects,Abstract,CrossrefQueryUsed,DiscoveryMethod,BISUAuthorEvidence,ValidationEvidence,NeedsManualReview,ContributingCampuses,CampusAttributionMethod
2026,Main Campus,high,Computer Science,Evaluation of Convolutional Neural Network Models for Leaf-Based Endangered Tree Classification,"Bem Gumapac, Jocelyn Villaverde","Eurasia Conference on IoT, Communication and Engineering",MDPI,proceedings-article,10.3390/engproc2026134003,https://doi.org/10.3390/engproc2026134003,"Computer Engineering Department, College of Engineering, Architecture and Industrial Design, Bohol Island State University, Tagbilaran City 6300, Philippines","School of Graduate Studies, Mapúa University, Manila 1002, Philippines | Computer Engineering Department, College of Engineering, Architecture and Industrial Design, Bohol Island State University, Tagbilaran City 6300, Philippines | School of Graduate Studies, Mapúa University, Manila 1002, Philippines",,,affiliation:Bohol Island State University; affiliation:Bohol Island State University Balilihan; affiliation:Bohol Island State University Bilar; affiliation:Bohol Island State University Calape; affiliation:Bohol Island State University Candijay; affiliation:Bohol Island State University Clarin; affiliation:Bohol Island State University Main Campus; author:Bem Gumapac,affiliation:Bohol Island State University; affiliation:Bohol Island State University Balilihan; affiliation:Bohol Island State University Bilar; affiliation:Bohol Island State University Calape; affiliation:Bohol Island State University Candijay; affiliation:Bohol Island State University Clarin; affiliation:Bohol Island State University Main Campus; author:Bem Gumapac,Bem Gumapac,Crossref BISU affiliation,NO,Main Campus,full-counting: explicit affiliation and/or confirmed author-campus mapping
2026,Main Campus,high,Computer Science,"BEMAX: A Leaf-Based Endangered Tree Classification System Using Convolutional Neural Network in Bohol Biodiversity Complex, the Philippines","Bem Gumapac, Jocelyn Villaverde","Eurasia Conference on IoT, Communication and Engineering",MDPI,proceedings-article,10.3390/engproc2026134014,https://doi.org/10.3390/engproc2026134014,"Computer Engineering Department, College of Engineering, Architecture and Industrial Design, Bohol Island State University, Tagbilaran City 6300, Philippines","School of Graduate Studies, Mapúa University, Manila 1002, Philippines | Computer Engineering Department, College of Engineering, Architecture and Industrial Design, Bohol Island State University, Tagbilaran City 6300, Philippines | School of Graduate Studies, Mapúa University, Manila 1002, Philippines",,,affiliation:Bohol Island State University; affiliation:Bohol Island State University Balilihan; affiliation:Bohol Island State University Bilar; affiliation:Bohol Island State University Calape; affiliation:Bohol Island State University Candijay; affiliation:Bohol Island State University Clarin; affiliation:Bohol Island State University Main Campus; author:Bem Gumapac,affiliation:Bohol Island State University; affiliation:Bohol Island State University Balilihan; affiliation:Bohol Island State University Bilar; affiliation:Bohol Island State University Calape; affiliation:Bohol Island State University Candijay; affiliation:Bohol Island State University Clarin; affiliation:Bohol Island State University Main Campus; author:Bem Gumapac,Bem Gumapac,Crossref BISU affiliation,NO,Main Campus,full-counting: explicit affiliation and/or confirmed author-campus mapping
2026,Clarin Campus,author-evidence,Computer Science,Machine Learning-based Habitat Suitability and Distribution Modeling for Stingless Bees in Bohol Island Geopark,"Alvin Remolado, Ariel Roy Reyes",UCL Press,UCL Press,posted-content,10.14324/ucloepreprints.308.v1,https://doi.org/10.14324/ucloepreprints.308.v1,,,,,author:Alvin T. Remolado,author:Alvin T. Remolado,Alvin T. Remolado,Trusted BISU author match; Crossref work affiliation missing/incomplete,YES,Clarin Campus,full-counting: explicit affiliation and/or confirmed author-campus mapping
2026,Clarin Campus,high,Computer Science,A Machine Learning Approach to Analyzing Student Learning Experiences in Cloud-Based Learning,"Alvin T. Remolado, Ariel Roy L. Reyes, Jonathan V. Oludin, Maria Jennifer G. Cubillo",2026 IEEE 18th International Conference on Computational Intelligence and Communication Networks (CICN),IEEE,proceedings-article,10.1109/cicn70047.2026.11594304,https://doi.org/10.1109/cicn70047.2026.11594304,"College of Science and Management, Bohol Island State University - Clarin Campus,Clarin,Bohol,Philippines","College of Science and Management, Bohol Island State University - Clarin Campus,Clarin,Bohol,Philippines | Graduate School of Computing, University of Southeastern Philippines,Davao City,Philippines | College of Teacher Education, Bohol Island State University &#x2013; Clarin Campus,Clarin,Bohol,Philippines | College of Teacher Education, Bohol Island State University &#x2013; Clarin Campus,Clarin,Bohol,Philippines",,,affiliation:Bohol Island State University; affiliation:Bohol Island State University Balilihan; affiliation:Bohol Island State University Bilar; affiliation:Bohol Island State University Calape; affiliation:Bohol Island State University Candijay; affiliation:Bohol Island State University Clarin; affiliation:Bohol Island State University Main Campus; author:Alvin T. Remolado; author:Jonathan V. Oludin; author:Maria Jennifer G. Cubillo,affiliation:Bohol Island State University; affiliation:Bohol Island State University Balilihan; affiliation:Bohol Island State University Bilar; affiliation:Bohol Island State University Calape; affiliation:Bohol Island State University Candijay; affiliation:Bohol Island State University Clarin; affiliation:Bohol Island State University Main Campus; author:Alvin T. Remolado; author:Jonathan V. Oludin; author:Maria Jennifer G. Cubillo,Alvin T. Remolado; Jonathan V. Oludin; Maria Jennifer G. Cubillo,Crossref BISU affiliation,NO,Clarin Campus,full-counting: explicit affiliation and/or confirmed author-campus mapping
2026,Candijay Campus,high,Computer Science,Predicting Mental Health Conditions Across Countries Using Lifestyle Factors: A Machine Learning Approach,"Epifelward Niño O. Amora, Evangeline N. Olandria",2026 7th International Conference on Mobile Computing and Sustainable Informatics (ICMCSI),IEEE,proceedings-article,10.1109/icmcsi67283.2026.11412709,https://doi.org/10.1109/icmcsi67283.2026.11412709,"College of Sciences, Bohol Island State University &#x2013; Candijay Campus,Department of Computer Science,Philippines","College of Sciences, Bohol Island State University &#x2013; Candijay Campus,Department of Computer Science,Philippines | College of Sciences, Bohol Island State University &#x2013; Candijay Campus,Department of Computer Science,Philippines",,,affiliation:Bohol Island State University; affiliation:Bohol Island State University Balilihan; affiliation:Bohol Island State University Bilar; affiliation:Bohol Island State University Calape; affiliation:Bohol Island State University Candijay; affiliation:Bohol Island State University Clarin; affiliation:Bohol Island State University Main Campus; author:Epifelward Niño Amora; author:Evangeline N. Olandria,affiliation:Bohol Island State University; affiliation:Bohol Island State University Balilihan; affiliation:Bohol Island State University Bilar; affiliation:Bohol Island State University Calape; affiliation:Bohol Island State University Candijay; affiliation:Bohol Island State University Clarin; affiliation:Bohol Island State University Main Campus; author:Epifelward Niño Amora; author:Evangeline N. Olandria,Epifelward Niño O. Amora; Evangeline N. Olandria,Crossref BISU affiliation,NO,Candijay Campus,full-counting: explicit affiliation and/or confirmed author-campus mapping
2026,Candijay Campus,author-evidence,Computer Science,Machine Learning Based Prediction of Catch Yields in Small Scale Fisheries,"Epifelward Niño Olaivar Amora, Epifelward Niño Olaivar Amora, Patrick D. Cerna",Journal of Computer Science,Science Publications,journal-article,10.3844/jcssp.2026.2528.2539,https://doi.org/10.3844/jcssp.2026.2528.2539,,,,,author:Epifelward Niño Amora,author:Epifelward Niño Amora,Epifelward Niño Amora,Trusted BISU author match; Crossref work affiliation missing/incomplete,YES,Candijay Campus,full-counting: explicit affiliation and/or confirmed author-campus mapping
2026,Multiple BISU campuses,high,Computer Science,Feature Engineering and Machine Learning-based Analysis of Tourist Satisfaction and Interest-Driven Segmentation,"Epifelward Niño O. Amora, Lolita V. Velita, Maria Esther F. Medalla",2026 International Conference on Intelligent and Sustainable AI Systems (ICOSAAS),IEEE,proceedings-article,10.1109/icosaas68663.2026.11649100,https://doi.org/10.1109/icosaas68663.2026.11649100,Bohol Island State University – Candijay Campus,Bohol Island State University – Candijay Campus | Cebu Technological University - Main Campus | Cebu Technological University - Main Campus,,,affiliation:Bohol Island State University; affiliation:Bohol Island State University Balilihan; affiliation:Bohol Island State University Bilar; affiliation:Bohol Island State University Calape; affiliation:Bohol Island State University Candijay; affiliation:Bohol Island State University Clarin; affiliation:Bohol Island State University Main Campus; author:Epifelward Niño Amora,affiliation:Bohol Island State University; affiliation:Bohol Island State University Balilihan; affiliation:Bohol Island State University Bilar; affiliation:Bohol Island State University Calape; affiliation:Bohol Island State University Candijay; affiliation:Bohol Island State University Clarin; affiliation:Bohol Island State University Main Campus; author:Epifelward Niño Amora,Epifelward Niño O. Amora,Crossref BISU affiliation,NO,Main Campus | Candijay Campus,full-counting: explicit affiliation and/or confirmed author-campus mapping
2026,Candijay Campus,high,Computer Science,A Two-Stage Baseline-Residual Machine Learning Framework for Predicting Small-Scale Fisheries Catch Productivity,"Epifelward Niño O. Amora, Patrick D. Cerna",2026 9th International Conference on Inventive Computation Technologies (ICICT),IEEE,proceedings-article,10.1109/icict68280.2026.11511144,https://doi.org/10.1109/icict68280.2026.11511144,"Bohol Island State University &#x2013; Candijay Campus,College of Sciences,Department of Computer Science,Philippines","Bohol Island State University &#x2013; Candijay Campus,College of Sciences,Department of Computer Science,Philippines | State University of Northern,Graduate School,Negros,Philippines",,,affiliation:Bohol Island State University; affiliation:Bohol Island State University Balilihan; affiliation:Bohol Island State University Bilar; affiliation:Bohol Island State University Calape; affiliation:Bohol Island State University Candijay; affiliation:Bohol Island State University Clarin; affiliation:Bohol Island State University Main Campus; author:Epifelward Niño Amora,affiliation:Bohol Island State University; affiliation:Bohol Island State University Balilihan; affiliation:Bohol Island State University Bilar; affiliation:Bohol Island State University Calape; affiliation:Bohol Island State University Candijay; affiliation:Bohol Island State University Clarin; affiliation:Bohol Island State University Main Campus; author:Epifelward Niño Amora,Epifelward Niño O. Amora,Crossref BISU affiliation,NO,Candijay Campus,full-counting: explicit affiliation and/or confirmed author-campus mapping
2026,Bilar Campus,verified-doi,Computing (unspecified),Evaluating 7S Compliance in Bohol Island State University: Feature Importance and Logistic Regression Models for Organizational Readiness Assessment,"Max Angelo D. Perin, Darrel A. Cardaña, Merlyn G. Buscato, Emilyn S. Cinco, Elizabeth A. Orapa, Jes Maries M. Mendez",Lecture Notes in Networks and Systems | Machine and Computing Technologies for Sustainable Development,Springer Nature Switzerland,book-chapter,10.1007/978-3-032-23716-3_8,https://doi.org/10.1007/978-3-032-23716-3_8,,,,,author:Darrel A. Cardaña; author:Elizabeth Ancog Orapa; author:Max Angelo Dapitilla Perin; known-doi:10.1007/978-3-032-23716-3_8,author:Darrel A. Cardaña; author:Elizabeth Ancog Orapa; author:Max Angelo Dapitilla Perin; known-doi:10.1007/978-3-032-23716-3_8,Max Angelo D. Perin,Verified DOI seed (affiliation missing/incomplete in Crossref work metadata),NO,Bilar Campus,full-counting: explicit affiliation and/or confirmed author-campus mapping
2026,Bilar Campus,verified-doi,Computing (unspecified),Analyzing Project-Based Learning in Bohol Island State University Student Feedback Using LDA and VADER,"Cecilia T. Gumanoy, Ardee Joy T. Ocampo",Lecture Notes in Networks and Systems | Machine and Computing Technologies for Sustainable Development,Springer Nature Switzerland,book-chapter,10.1007/978-3-032-25187-9_45,https://doi.org/10.1007/978-3-032-25187-9_45,,,,,author:Cecilia T. Gumanoy; known-doi:10.1007/978-3-032-25187-9_45,author:Cecilia T. Gumanoy; known-doi:10.1007/978-3-032-25187-9_45,Cecilia T. Gumanoy,Verified DOI seed (affiliation missing/incomplete in Crossref work metadata),NO,Bilar Campus,full-counting: explicit affiliation and/or confirmed author-campus mapping
